집계일자,영업소코드,영업소명,입출구구분코드,입출구명,TCS하이패스구분코드,TCS하이패스명,고속도로운영기관구분코드,고속도로운영기관명,영업형태구분코드,영업형태명,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
"20210701","560 ","감곡","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",521,21,89,87,42,7,767
"20210701","560 ","감곡","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",3860,152,104,172,684,85,5057
"20210701","560 ","감곡","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",562,15,128,191,35,38,969
"20210701","560 ","감곡","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",4070,167,98,151,622,104,5212
"20210701","572 ","고덕","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",267,19,52,46,12,4,400
"20210701","572 ","고덕","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",1979,81,86,110,218,62,2536
"20210701","572 ","고덕","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",323,9,58,29,17,20,456
"20210701","572 ","고덕","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",1796,68,75,72,199,69,2279
"20210701","577 ","공주","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",397,15,25,13,3,3,456
"20210701","577 ","공주","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",2269,93,105,49,132,74,2722
"20210701","577 ","공주","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",452,17,28,20,10,45,572
"20210701","577 ","공주","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",2387,103,99,57,135,77,2858
"20210701","563 ","괴산","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",131,7,13,30,13,0,194
"20210701","563 ","괴산","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",771,23,24,66,105,27,1016
"20210701","563 ","괴산","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",113,9,22,16,12,9,181
"20210701","563 ","괴산","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",762,24,30,69,118,20,1023
"20210701","767 ","구병산","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",70,2,0,0,0,3,75
"20210701","767 ","구병산","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",54,2,0,0,0,3,59
"20210701","117 ","금강","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",140,2,10,13,0,3,168
"20210701","117 ","금강","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",640,22,13,24,26,28,753
"20210701","117 ","금강","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",156,5,8,16,1,12,198
"20210701","117 ","금강","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",704,15,13,27,17,33,809
"20210701","226 ","금강휴게소","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",582,14,10,17,6,13,642
"20210701","128 ","금왕꽃동네","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",356,15,212,165,47,3,798
"20210701","128 ","금왕꽃동네","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",3891,294,198,335,697,166,5581
"20210701","128 ","금왕꽃동네","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",459,26,229,134,66,43,957
"20210701","128 ","금왕꽃동네","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",3798,262,205,304,694,159,5422
"20210701","536 ","남상주","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",340,13,94,50,10,3,510
"20210701","536 ","남상주","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",1607,82,187,111,96,51,2134
"20210701","536 ","남상주","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",361,7,79,48,14,27,536
"20210701","536 ","남상주","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",1571,96,182,111,98,53,2111
