집계일자,영업소코드,영업소명,입출구구분코드,입출구명,TCS하이패스구분코드,TCS하이패스명,고속도로운영기관구분코드,고속도로운영기관명,영업형태구분코드,영업형태명,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
"20210701","246 ","가락","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",149,6,77,106,42,1,381
"20210701","246 ","가락","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",633,50,62,131,256,25,1157
"20210701","029 ","가락(개)","0","입구","1","TCS","00","한국도로공사","1","개방식",2110,96,201,302,263,319,3291
"20210701","029 ","가락(개)","0","입구","2","hi-pass","00","한국도로공사","1","개방식",12942,312,174,240,2440,771,16879
"20210701","029 ","가락(개)","1","출구","1","TCS","00","한국도로공사","1","개방식",2480,124,241,319,270,375,3809
"20210701","029 ","가락(개)","1","출구","2","hi-pass","00","한국도로공사","1","개방식",14816,359,196,271,2477,855,18974
"20210701","596 ","가락2","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",210,12,63,75,25,22,407
"20210701","596 ","가락2","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",808,46,48,103,234,30,1269
"20210701","513 ","고성","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",1000,47,82,39,28,17,1213
"20210701","513 ","고성","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",4682,129,188,118,293,269,5679
"20210701","513 ","고성","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",1084,48,71,52,28,131,1414
"20210701","513 ","고성","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",4851,145,188,105,265,292,5846
"20210701","279 ","곤양","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",337,16,19,30,13,3,418
"20210701","279 ","곤양","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",1740,58,64,29,181,64,2136
"20210701","279 ","곤양","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",374,17,20,22,14,36,483
"20210701","279 ","곤양","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",1712,46,64,24,112,58,2016
"20210701","755 ","광재","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",699,74,209,124,47,20,1173
"20210701","755 ","광재","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",7128,315,203,290,759,342,9037
"20210701","755 ","광재","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",798,62,209,124,37,103,1333
"20210701","755 ","광재","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",6924,317,212,290,776,326,8845
"20210701","142 ","군북","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",901,41,130,111,49,12,1244
"20210701","142 ","군북","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",6352,186,187,153,553,361,7792
"20210701","142 ","군북","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",956,43,145,119,31,116,1410
"20210701","142 ","군북","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",6459,204,195,141,513,373,7885
"20210701","753 ","금정","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",527,46,68,62,29,14,746
"20210701","753 ","금정","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",4071,160,91,125,205,213,4865
"20210701","753 ","금정","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",725,59,121,82,28,78,1093
"20210701","753 ","금정","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",4785,204,146,129,286,272,5822
"20210701","750 ","기장동JC","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",11494,430,786,263,1589,700,15262
"20210701","760 ","기장서JC","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",20412,736,1018,344,2186,1348,26044
"20210701","751 ","기장일광(KEC)","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",1234,44,87,78,33,164,1640
"20210701","751 ","기장일광(KEC)","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",7658,139,77,99,539,444,8956
"20210701","746 ","기장일광입구","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",6323,106,10,1,1,382,6823
"20210701","752 ","기장철마","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",1118,56,100,114,36,31,1455
"20210701","752 ","기장철마","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",9036,245,128,165,625,569,10768
"20210701","752 ","기장철마","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",1269,69,106,99,73,184,1800
"20210701","752 ","기장철마","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",9450,253,128,170,658,592,11251
"20210701","754 ","김해가야휴게소","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",1311,35,0,0,0,61,1407
"20210701","754 ","김해가야휴게소","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",1383,40,1,0,0,54,1478
"20210701","706 ","남경주","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",640,30,80,55,46,6,857
"20210701","706 ","남경주","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",3504,65,114,69,362,158,4272
"20210701","706 ","남경주","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",712,31,80,64,50,70,1007
"20210701","706 ","남경주","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",3542,73,114,71,347,158,4305
"20210701","250 ","남양산","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",2336,125,215,115,54,60,2905
"20210701","250 ","남양산","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",20722,564,639,334,510,1432,24201
"20210701","250 ","남양산","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",2715,128,253,138,61,426,3721
"20210701","250 ","남양산","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",21096,695,664,326,607,1454,24842
"20210701","237 ","남지","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",314,23,69,77,49,10,542
"20210701","237 ","남지","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",1779,103,157,161,536,99,2835
