집계일자,영업소코드,영업소명,입출구구분코드,입출구명,TCS하이패스구분코드,TCS하이패스명,고속도로운영기관구분코드,고속도로운영기관명,영업형태구분코드,영업형태명,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
"20210701","191 ","경기광주","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",1172,80,148,81,32,33,1546
"20210701","191 ","경기광주","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",11890,727,425,339,356,761,14498
"20210701","191 ","경기광주","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",1212,71,170,72,22,158,1705
"20210701","191 ","경기광주","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",13061,789,436,347,457,775,15865
"20210701","192 ","곤지암","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",1114,115,288,285,48,38,1888
"20210701","192 ","곤지암","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",11002,1140,400,717,618,638,14515
"20210701","192 ","곤지암","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",1095,107,299,236,56,151,1944
"20210701","192 ","곤지암","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",11728,1164,452,748,832,705,15629
"20210701","062 ","구리남양주","0","입구","1","TCS","00","한국도로공사","1","개방식",9522,434,775,584,207,1114,12636
"20210701","062 ","구리남양주","0","입구","2","hi-pass","00","한국도로공사","1","개방식",71423,3042,1808,2415,2254,3877,84819
"20210701","062 ","구리남양주","1","출구","1","TCS","00","한국도로공사","1","개방식",8386,383,775,727,234,1173,11678
"20210701","062 ","구리남양주","1","출구","2","hi-pass","00","한국도로공사","1","개방식",79616,3324,1919,2733,2459,4492,94543
"20210701","254 ","군자","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",3943,236,691,706,288,62,5926
"20210701","254 ","군자","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",34850,1745,994,1361,2955,2028,43933
"20210701","254 ","군자","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",3966,215,608,694,252,483,6218
"20210701","254 ","군자","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",34406,1635,927,1227,2760,1997,42952
"20210701","215 ","군포","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",1082,47,99,54,16,21,1319
"20210701","215 ","군포","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",10905,393,283,200,260,680,12721
"20210701","215 ","군포","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",1121,59,157,93,34,143,1607
"20210701","215 ","군포","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",11510,425,266,205,394,788,13588
"20210701","105 ","기흥","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",1228,39,53,46,17,35,1418
"20210701","105 ","기흥","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",12324,281,402,152,115,619,13893
"20210701","105 ","기흥","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",1588,54,83,56,17,207,2005
